code,system
C18.3,icd10
C22.4,icd10
D13.5,icd10
C22,icd10
D23.2,icd10
C44.2,icd10
C22.7,icd10
C22.1,icd10
C22.3,icd10
C22.0,icd10
C43.2,icd10
C22.9,icd10
C57.7,icd10
C92.9,icd10
C49.6,icd10
D29.9,icd10
C63.7,icd10
D41.9,icd10
D28.9,icd10
C32.9,icd10
D33.9,icd10
D43.2,icd10
C02.9,icd10
C13.9,icd10
D01.9,icd10
D33.2,icd10
D21.6,icd10
C57.0,icd10
D30.9,icd10
D01.7,icd10
C16.9,icd10
D48.1,icd10
D42.9,icd10
D17.9,icd10
C57.3,icd10
C68,icd10
C70.9,icd10
D48.9,icd10
C91.9,icd10
C18.9,icd10
D21.9,icd10
C04.9,icd10
D43.9,icd10
C88.9,icd10
C03.9,icd10
D01,icd10
D10.3,icd10
C11.9,icd10
D36.9,icd10
C85,icd10
C45.9,icd10
C85.1,icd10
C21.0,icd10
C00.9,icd10
C72.9,icd10
D40.9,icd10
D28.0,icd10
D36,icd10
D07.6,icd10
D25.9,icd10
C85.0,icd10
D09,icd10
C57,icd10
C85.9,icd10
C34.9,icd10
D48.4,icd10
C55.X,icd10
C95,icd10
C63.9,icd10
D48.6,icd10
C78.3,icd10
C44.9,icd10
C60.9,icd10
C06,icd10
D14.4,icd10
C02.1,icd10
D32.9,icd10
C38.3,icd10
D07.1,icd10
C25.9,icd10
D09.1,icd10
D48.3,icd10
D12.6,icd10
D10.9,icd10
C50.9,icd10
D07,icd10
D05.9,icd10
D48.5,icd10
D39.9,icd10
D48,icd10
C05.9,icd10
D22.9,icd10
C10.9,icd10
C06.0,icd10
D36.7,icd10
D28.7,icd10
C46.9,icd10
C95.9,icd10
C71.9,icd10
D02.4,icd10
C31.9,icd10
D09.7,icd10
C63,icd10
C81.9,icd10
C48.2,icd10
D26.9,icd10
C49.9,icd10
C78.8,icd10
C43.9,icd10
D23.9,icd10
C06.9,icd10
D07.3,icd10
C79.4,icd10
D46.9,icd10
D01.2,icd10
C02,icd10
C06.2,icd10
C85.7,icd10
C15.9,icd10
D28,icd10
C68.9,icd10
D07.4,icd10
C79.1,icd10
D37.9,icd10
D09.9,icd10
C51.9,icd10
D01.3,icd10
C57.9,icd10
D04.9,icd10
C83.9,icd10
C55,icd10
D19.9,icd10
D03.9,icd10
C93.9,icd10
C06.1,icd10
D01.0,icd10
C72.5,icd10
C95.7,icd10
D24,icd10
D24.X,icd10
C50.0,icd10
D05.1,icd10
D05,icd10
D05.0,icd10
D05.7,icd10
C50,icd10
C91.0,icd10
C83.4,icd10
C94.2,icd10
C22.2,icd10
C83.5,icd10
D33.4,icd10
D19.0,icd10
C72.0,icd10
C72.1,icd10
D19.1,icd10
D19.7,icd10
C72.3,icd10
D13.9,icd10
D33.3,icd10
C72.2,icd10
D19,icd10
D33,icd10
D43.7,icd10
C72,icd10
C72.4,icd10
D44.6,icd10
D44.7,icd10
D44.4,icd10
D35.6,icd10
C08.8,icd10
D35.2,icd10
D11,icd10
D44.2,icd10
C68.1,icd10
C75,icd10
C73.X,icd10
C74,icd10
D35.1,icd10
C08.0,icd10
D11.9,icd10
D35.7,icd10
C74.9,icd10
C79.7,icd10
D34,icd10
C75.1,icd10
C74.0,icd10
D44,icd10
D35.0,icd10
D44.1,icd10
C08,icd10
D11.7,icd10
D44.0,icd10
C75.0,icd10
C73,icd10
D44.9,icd10
C07,icd10
C75.9,icd10
C60.1,icd10
D35,icd10
D35.9,icd10
C74.1,icd10
C75.4,icd10
D35.3,icd10
D35.5,icd10
C07.X,icd10
D34.X,icd10
C75.5,icd10
D44.3,icd10
C08.1,icd10
C75.2,icd10
D11.0,icd10
D09.3,icd10
C08.9,icd10
C18.1,icd10
D37.3,icd10
D12.1,icd10
C45.1,icd10
C45.2,icd10
C45.0,icd10
C45.7,icd10
C45,icd10
C26.1,icd10
C26,icd10
C26.9,icd10
D13.6,icd10
C76,icd10
D13.0,icd10
D13.1,icd10
D13,icd10
C76.7,icd10
D13.7,icd10
C60.2,icd10
D29.0,icd10
C60.0,icd10
C60,icd10
D46.4,icd10
D21.4,icd10
C76.2,icd10
C49.4,icd10
C47.4,icd10
C54.3,icd10
C54.9,icd10
D28.2,icd10
C54.0,icd10
C54.2,icd10
C54.8,icd10
D26.1,icd10
C54,icd10
C57.4,icd10
C33,icd10
D14.2,icd10
C33.X,icd10
D02.1,icd10
C26.0,icd10
C17.2,icd10
C88.3,icd10
C17.8,icd10
C78.4,icd10
C78.5,icd10
D37.2,icd10
C62.0,icd10
D01.4,icd10
D29.2,icd10
C62.9,icd10
C17.3,icd10
C17.1,icd10
D40.1,icd10
C62,icd10
C17.9,icd10
C17,icd10
D13.3,icd10
C62.1,icd10
C25.8,icd10
C68.8,icd10
C32.8,icd10
C31.8,icd10
C04.8,icd10
C18.8,icd10
C15.8,icd10
C44.8,icd10
C13.8,icd10
C05.8,icd10
C48.8,icd10
C02.8,icd10
C26.8,icd10
C76.8,icd10
C50.8,icd10
C11.8,icd10
C57.8,icd10
C60.8,icd10
C10.8,icd10
C71.8,icd10
C00.8,icd10
C21.8,icd10
C51.8,icd10
C72.8,icd10
C38.8,icd10
C34.8,icd10
C16.8,icd10
C49.8,icd10
C06.8,icd10
C63.8,icd10
D21.1,icd10
C44.6,icd10
D03.6,icd10
C47.2,icd10
D21.2,icd10
D17.2,icd10
C49.1,icd10
D23.6,icd10
D03.7,icd10
C40.9,icd10
C40.1,icd10
D04.7,icd10
D16.3,icd10
C47.1,icd10
C40,icd10
C76.5,icd10
C43.6,icd10
D04.6,icd10
D22.6,icd10
C40.2,icd10
D22.7,icd10
D16.1,icd10
C76.4,icd10
C77.4,icd10
C40.8,icd10
C43.7,icd10
C40.3,icd10
D16.2,icd10
D23.7,icd10
C44.7,icd10
C49.2,icd10
C00.0,icd10
C00.1,icd10
C00.2,icd10
C31.3,icd10
C31.1,icd10
C31,icd10
C79.6,icd10
C56.X,icd10
C56,icd10
D27.X,icd10
D27,icd10
D39.1,icd10
C43,icd10
D03,icd10
D03.8,icd10
C43.8,icd10
D12.2,icd10
C18.6,icd10
D12.4,icd10
C18.2,icd10
C91,icd10
C91.7,icd10
C91.4,icd10
D17.0,icd10
C76.0,icd10
C02.2,icd10
C44.3,icd10
C43.3,icd10
C49.0,icd10
D04.3,icd10
C10.1,icd10
D22.3,icd10
C47.0,icd10
D21.0,icd10
D03.3,icd10
D23.3,icd10
C02.0,icd10
D10.0,icd10
D37.0,icd10
C13,icd10
D10.1,icd10
D10.6,icd10
D10.2,icd10
D00.0,icd10
D10.5,icd10
D10,icd10
D10.7,icd10
C95.1,icd10
D47.1,icd10
C92.1,icd10
C93.1,icd10
D30.4,icd10
D41.3,icd10
C68.0,icd10
D30.1,icd10
C65,icd10
C65.X,icd10
D41.1,icd10
D30,icd10
D41,icd10
D30.7,icd10
D41.7,icd10
D04,icd10
D04.8,icd10
C67.4,icd10
C67.9,icd10
D41.4,icd10
C67.5,icd10
D30.3,icd10
C67,icd10
C23.X,icd10
C67.8,icd10
C67.0,icd10
C67.6,icd10
C23,icd10
D01.5,icd10
D09.0,icd10
C67.7,icd10
D37.6,icd10
C67.3,icd10
C52,icd10
D07.2,icd10
C52.X,icd10
D28.1,icd10
C50.1,icd10
D31,icd10
C69,icd10
C69.8,icd10
D31.9,icd10
C69.9,icd10
D09.2,icd10
C41.8,icd10
C41.1,icd10
D16.9,icd10
D16,icd10
C41,icd10
C41.9,icd10
D48.0,icd10
D16.5,icd10
D43,icd10
C92.5,icd10
C92.4,icd10
C95.2,icd10
C92.0,icd10
C95.0,icd10
C92.2,icd10
C93.2,icd10
C94.4,icd10
C93.0,icd10
C94.5,icd10
C69.0,icd10
D31.0,icd10
C63.2,icd10
D29.4,icd10
C10.0,icd10
C10.4,icd10
C10,icd10
C78.0,icd10
C78,icd10
C11.2,icd10
C10.2,icd10
C67.2,icd10
C04.1,icd10
C82.1,icd10
C81.2,icd10
C83.2,icd10
C64,icd10
D41.0,icd10
C64.X,icd10
D30.0,icd10
C79.0,icd10
C18.7,icd10
D12.7,icd10
D12.5,icd10
D01.1,icd10
C19.X,icd10
C19,icd10
D22.1,icd10
C43.1,icd10
D04.1,icd10
D23.1,icd10
D03.1,icd10
C44.1,icd10
C61.X,icd10
D40.0,icd10
D29.1,icd10
D07.5,icd10
C61,icd10
C80,icd10
D48.7,icd10
D33.7,icd10
D47.7,icd10
C48.1,icd10
C96.7,icd10
C80.X,icd10
C30.0,icd10
C30.1,icd10
C30,icd10
D14.0,icd10
C14.2,icd10
C14,icd10
D31.5,icd10
C14.8,icd10
C14.0,icd10
C69.5,icd10
C57.1,icd10
C57.2,icd10
C79.5,icd10
C88.1,icd10
C88.2,icd10
D26.7,icd10
D26,icd10
D39.0,icd10
D04.5,icd10
C44.5,icd10
D23.5,icd10
C43.5,icd10
D03.5,icd10
D22.5,icd10
D40,icd10
D29,icd10
D40.7,icd10
D39,icd10
D29.7,icd10
D39.7,icd10
C41.3,icd10
D16.7,icd10
D42.0,icd10
C70.0,icd10
C79.3,icd10
D32.0,icd10
D18,icd10
D18.1,icd10
D18.0,icd10
C91.2,icd10
C91.1,icd10
C81.0,icd10
C81.3,icd10
C91.3,icd10
C37.X,icd10
C37,icd10
C96.2,icd10
C83.7,icd10
D47.0,icd10
D38.5,icd10
D38.2,icd10
C39.9,icd10
D38.1,icd10
D38.0,icd10
D38.3,icd10
D38.4,icd10
D15,icd10
C39.8,icd10
D38,icd10
C39,icd10
D15.2,icd10
D15.0,icd10
C39.0,icd10
D15.9,icd10
D38.6,icd10
D17.4,icd10
D15.7,icd10
D15.1,icd10
C50.6,icd10
C31.0,icd10
C77.3,icd10
D16.0,icd10
C40.0,icd10
C78.6,icd10
C48,icd10
D20.0,icd10
D20.1,icd10
D20,icd10
C48.0,icd10
D25.2,icd10
D25,icd10
D25.1,icd10
D25.0,icd10
D31.1,icd10
C69.1,icd10
C91.5,icd10
C94.7,icd10
C94.3,icd10
C94,icd10
C38.4,icd10
C38,icd10
D14.3,icd10
D02,icd10
C38.0,icd10
D02.0,icd10
D14.1,icd10
D14,icd10
D02.2,icd10
D02.3,icd10
C24.0,icd10
D31.4,icd10
C24.1,icd10
C69.4,icd10
C24.8,icd10
C24,icd10
C24.9,icd10
C96.0,icd10
C96.9,icd10
D47.2,icd10
C96.1,icd10
D47.9,icd10
D47,icd10
C96,icd10
C96.3,icd10
D47.3,icd10
C17.0,icd10
D13.2,icd10
D44.8,icd10
C75.8,icd10
D35.8,icd10
C32,icd10
C32.0,icd10
C32.3,icd10
C32.1,icd10
C32.2,icd10
D21.3,icd10
C47.3,icd10
C76.1,icd10
C49.3,icd10
C04,icd10
C01.X,icd10
C01,icd10
D30.2,icd10
C66,icd10
C66.X,icd10
D41.2,icd10
C84.5,icd10
C84.2,icd10
C84.4,icd10
C84.1,icd10
C84.0,icd10
C84,icd10
C84.3,icd10
C49,icd10
D21,icd10
C90.2,icd10
C90.1,icd10
C90.0,icd10
C90,icd10
D17.3,icd10
D17.1,icd10
D16.4,icd10
C41.0,icd10
C79.2,icd10
C79,icd10
C05.1,icd10
C05.0,icd10
C05,icd10
C05.2,icd10
C46.2,icd10
C20,icd10
D12.9,icd10
D12.8,icd10
D12,icd10
C20.X,icd10
D22.0,icd10
D22,icd10
C82,icd10
C82.7,icd10
C81.1,icd10
C82.9,icd10
D48.2,icd10
D36.1,icd10
C47.8,icd10
C47.6,icd10
C47,icd10
C47.9,icd10
C47.5,icd10
C41.2,icd10
D16.6,icd10
C44,icd10
D23,icd10
ICD10,icd10
D23.4,icd10
D04.4,icd10
C44.4,icd10
D03.4,icd10
C43.4,icd10
D22.4,icd10
D21.5,icd10
C49.5,icd10
C76.3,icd10
C58,icd10
C58.X,icd10
D39.2,icd10
C88.0,icd10
C88,icd10
C88.7,icd10
C03.0,icd10
C16.2,icd10
C16,icd10
C16.3,icd10
C16.4,icd10
C16.0,icd10
D44.5,icd10
D35.4,icd10
C75.3,icd10
C13.0,icd10
C77.8,icd10
C53.1,icd10
D06.7,icd10
C53.8,icd10
D06.0,icd10
C53,icd10
C53.0,icd10
D06.9,icd10
C53.9,icd10
D26.0,icd10
D06.1,icd10
D06,icd10
C77.1,icd10
C77,icd10
C46.3,icd10
D36.0,icd10
C77.5,icd10
C77.0,icd10
C77.9,icd10
C94.0,icd10
C94.1,icd10
D03.2,icd10
D22.2,icd10
D04.2,icd10
D03.0,icd10
C44.0,icd10
D04.0,icd10
D17,icd10
C00,icd10
C43.0,icd10
D17.7,icd10
D23.0,icd10
C00.6,icd10
D46.3,icd10
D46.1,icd10
D46.0,icd10
D46.2,icd10
D00.1,icd10
D37.5,icd10
D37,icd10
D37.7,icd10
D00,icd10
D37.4,icd10
D37.1,icd10
D00.2,icd10
C83.0,icd10
C83,icd10
C81,icd10
C83.8,icd10
C81.7,icd10
C83.6,icd10
C34.2,icd10
C34,icd10
C34.1,icd10
C34.3,icd10
C34.0,icd10
D29.3,icd10
C63.0,icd10
D43.0,icd10
D33.0,icd10
C71.1,icd10
C31.2,icd10
C13.1,icd10
D31.3,icd10
C69.3,icd10
C70.1,icd10
D43.4,icd10
D32.1,icd10
D42.1,icd10
C25.4,icd10
C25.2,icd10
C25.0,icd10
C25.3,icd10
C25.7,icd10
C25.1,icd10
C25,icd10
C16.5,icd10
C16.6,icd10
C97.X,icd10
C97,icd10
C13.2,icd10
C11.1,icd10
C38.2,icd10
C10.3,icd10
C71.3,icd10
C71.7,icd10
C71.4,icd10
C71.6,icd10
C71.2,icd10
D32,icd10
C70,icd10
D42,icd10
C15.3,icd10
C02.3,icd10
C15.4,icd10
C15.5,icd10
C18.0,icd10
D12.0,icd10
C54.1,icd10
D07.0,icd10
C67.1,icd10
C03,icd10
C92,icd10
C92.3,icd10
C92.7,icd10
D16.8,icd10
C41.4,icd10
C15.0,icd10
C15,icd10
C46.7,icd10
C46,icd10
C46.0,icd10
C46.1,icd10
C83.3,icd10
C82.2,icd10
C78.1,icd10
C93,icd10
C93.7,icd10
C15.1,icd10
C51.2,icd10
C51,icd10
C71.0,icd10
C71.5,icd10
C18.4,icd10
D12.3,icd10
C00.5,icd10
C00.4,icd10
C50.2,icd10
C50.3,icd10
C00.3,icd10
C50.5,icd10
C50.4,icd10
C18,icd10
D43.3,icd10
C51.1,icd10
C51.0,icd10
D10.4,icd10
C09.1,icd10
C09.9,icd10
C09.0,icd10
C02.4,icd10
C09,icd10
C09.8,icd10
C69.2,icd10
D31.2,icd10
C69.6,icd10
D31.6,icd10
C78.2,icd10
C38.1,icd10
C11.3,icd10
C04.0,icd10
D46.7,icd10
D46,icd10
D17.5,icd10
C15.2,icd10
C77.2,icd10
C21,icd10
C21.2,icd10
C21.1,icd10
C71,icd10
C11,icd10
C11.0,icd10
C46.8,icd10
C16.1,icd10
C18.5,icd10
D45,icd10
D45.X,icd10
C63.1,icd10
D17.6,icd10
C78.7,icd10
D13.4,icd10
D43.1,icd10
D33.1,icd10
C12,icd10
C12.X,icd10
C03.1,icd10
C79.8,icd10
C,icd10
C83.1,icd10
C82.0,icd10